模块,功能,子功能,功能描述,前后端涉及
首页,系统概览,统计看板,展示系统核心业务指标（如材料总数、试验总数、任务状态统计等）,前端展示/后端统计接口
数据管理,材料查询,全局搜索,支持通过材料名称、编号、标签进行模糊检索,前端搜索组件/后端搜索接口
数据管理,材料查询,高级筛选,支持按材料类型（自交系/杂交种等）、是否有基因型/表型/环境数据进行组合筛选,前端筛选面板/后端查询接口
数据管理,材料列表,列表展示,以表格形式展示材料ID、名称、类型、关联试验数、数据状态、标签及更新时间,前端表格组件/后端分页接口
数据管理,材料列表,批量操作,支持多选材料进行批量处理（如批量导出、批量删除、批量标签等）,前端交互/后端批处理接口
数据管理,材料详情,详情抽屉,点击材料名称滑出侧边抽屉，展示材料详细画像及关联数据,前端抽屉组件/后端详情接口
数据管理,智能助手,数据问答,右侧侧边栏集成AI助手，支持自然语言提问查询数据状态,前端Chat界面/后端AI服务接口
任务管理,任务列表,状态监控,实时展示任务处理状态（解析中、待映射、校验中、需修正、已存储、异常）,前端状态轮询/后端状态接口
任务管理,任务列表,任务筛选,支持按数据类型（表型/基因型/环境/文档）和任务状态进行筛选,前端筛选组件/后端查询接口
任务管理,任务列表,快速搜索,支持按文件名或创建人进行搜索,前端搜索框/后端搜索接口
任务管理,新建任务,文件上传,支持拖拽上传和点击选择文件，实时显示文件上传进度条,前端上传组件/后端文件接收服务
任务管理,新建任务,任务配置,填写任务名称、选择数据类型、填写备注信息,前端表单/后端任务创建接口
任务管理,新建任务,项目关联,**新增**：选择所属育种项目（如2026年C1晋级），级联选择对应的育种策略,前端级联选择器/后端项目策略元数据接口
试验分析,参数配置,基础信息,配置项目名称、策略名称,前端表单/后端配置存储接口
试验分析,参数配置,核心策略,选择核心育种策略（材料体检、品种开发、育种群体预测、DH系筛选）,前端卡片选择/后端策略逻辑
试验分析,参数配置,环境参数,选择核心育种区（如新泽西玉米区）和预计种植期,前端选择器/后端参数存储
试验分析,参数配置,育种目标,**新增**：支持切换“自交系性状表现评估”与“组合性状表现评估”Tab,前端Tab切换/后端目标存储
试验分析,参数配置,性状设定,配置产量、农艺性状、抗病性状的具体目标值和关注项,前端动态表单/后端性状配置接口
试验分析,分析结果,Tab切换,支持在材料基因诊断、功能基因诊断、育种值预测、最佳亲本匹配等维度间切换,前端Tab导航
试验分析,分析结果,材料基因诊断,可视化展示材料的血缘分组（Group）及各血缘占比（P/SS/RD等）,前端可视化图表/后端基因分析接口
试验分析,分析结果,阈值调整,支持调整主要血缘占比阈值并实时刷新分析结果,前端交互/后端重计算接口
试验分析,分析结果,功能基因诊断,展示特定功能基因（产量、开花期、抗病等）的基因型状态（优异/杂合/非优势）,前端矩阵表格/后端基因匹配接口
试验分析,分析结果,育种值预测,**新增**：展示材料的预测产量值，支持在线编辑备注信息,前端可编辑表格/后端预测接口
试验分析,分析结果,最佳亲本匹配,**新增**：展示最佳父本与母本的配对排名及预测产量,前端排序表格/后端匹配算法接口
系统设置,用户管理,用户列表,展示系统注册用户列表及状态,前端表格/后端用户接口
系统设置,角色管理,权限配置,管理系统角色及对应的功能操作权限,前端权限树/后端权限控制
系统设置,系统配置,通用设置,管理系统级通用参数,前端表单/后端配置接口
