一级模块,二级模块/页面,页面区域,功能入口/UI元素,功能交互描述,前端逻辑,后端接口需求
首页概览,全局导航,顶部导航栏,Logo/标题,点击跳转至系统首页,React Router路由跳转,无
首页概览,全局导航,顶部导航栏,模块导航链接(数据概览/任务/项目/查询/工具/设置),点击高亮并跳转至对应模块页面,路由匹配与状态高亮,无
首页概览,全局导航,顶部导航栏,用户头像/账户菜单,点击展开账户操作菜单(登出等),Dropdown组件交互,无
首页概览,数据看板,统计卡片区,核心指标卡片(任务数/项目数等),展示系统关键业务指标数据,数据展示组件,GET /api/dashboard/stats
数据任务,任务列表,顶部操作区,新建上传任务按钮,点击跳转至新建任务页面,路由跳转至 /tasks/new,无
数据任务,任务列表,筛选过滤区,数据类型下拉框,筛选特定类型(表型/基因型等)的任务,State过滤列表数据,GET /api/tasks?type=...
数据任务,任务列表,筛选过滤区,任务状态下拉框,筛选特定状态(解析中/已完成等)的任务,State过滤列表数据,GET /api/tasks?status=...
数据任务,任务列表,筛选过滤区,搜索输入框,输入关键词搜索文件名或创建人,Debounce防抖搜索,GET /api/tasks?keyword=...
数据任务,任务列表,列表数据区,状态标签,以不同颜色展示任务当前处理状态,根据状态值渲染不同样式,无
数据任务,任务列表,列表数据区,查看按钮,点击跳转至任务详情页,路由跳转 /tasks/:id,无
数据任务,任务列表,列表数据区,分页控件,切换列表页码,更新分页State,GET /api/tasks?page=...
数据任务,新建任务,顶部导航,返回按钮,点击返回任务列表页,History.back(),无
数据任务,新建任务,文件上传区,拖拽/点击上传区域,支持拖拽文件或点击选择文件进行上传,File API获取文件对象,POST /api/upload/init (分片上传)
数据任务,新建任务,表单配置区,任务名称输入框,输入自定义任务名称(支持自动填充),表单State绑定,无
数据任务,新建任务,表单配置区,数据类型选择框,选择上传数据的类型(基因/表型/环境),下拉选择,无
数据任务,新建任务,表单配置区,育种项目选择框,选择所属育种项目(作为级联的一级),加载项目列表,GET /api/projects
数据任务,新建任务,表单配置区,育种策略选择框,根据所选项目加载对应策略(级联的二级),根据项目ID过滤策略列表,GET /api/projects/:id/strategies
数据任务,新建任务,底部操作区,取消按钮,放弃创建并返回列表,路由跳转,无
数据任务,新建任务,底部操作区,提交按钮,提交文件和配置信息创建任务,表单校验与提交,POST /api/tasks/create
育种项目,项目列表,顶部操作区,新建项目按钮,点击跳转至新建项目配置页,路由跳转 /experiments/new,无
育种项目,项目列表,筛选过滤区,搜索输入框,搜索项目名称或创建者,State过滤,GET /api/projects?keyword=...
育种项目,项目列表,筛选过滤区,状态筛选下拉框,筛选计算中/已完成/待计算的项目,State过滤,GET /api/projects?status=...
育种项目,项目列表,筛选过滤区,排序下拉框,按创建时间或同步时间排序,State排序,GET /api/projects?sort=...
育种项目,项目列表,项目卡片区,项目卡片整体,点击跳转至该项目的详情/结果页,路由跳转 /experiments/:id/results,无
育种项目,项目列表,项目卡片区,策略列表展开,展示项目下属的具体策略状态,数据渲染,无
育种项目,参数配置(新建),表单配置区,项目名称输入框,输入育种项目名称,表单State,无
育种项目,参数配置(新建),表单配置区,策略名称输入框,输入具体策略名称,表单State,无
育种项目,参数配置(新建),策略选择区,策略类型卡片(材料体检/品种开发等),点击选择核心育种策略类型,单选状态切换,无
育种项目,参数配置(新建),表单配置区,核心育种区下拉框,选择地理区域参数,下拉选择,无
育种项目,参数配置(新建),表单配置区,预计种植期输入框/日历,选择日期参数,DatePicker组件,无
育种项目,参数配置(新建),目标设定区,目标Tab切换(自交系/组合性状),切换不同的性状输入面板,条件渲染,无
育种项目,参数配置(新建),目标设定区,性状复选框(如产量/容重),勾选需要评估的性状指标,Checkbox State,无
育种项目,参数配置(新建),目标设定区,目标值输入框,输入具体性状的目标数值,Input State,无
育种项目,参数配置(新建),底部操作区,重置按钮,清空所有已填写的表单数据,State重置,无
育种项目,参数配置(新建),底部操作区,保存并启动按钮,提交配置并开始计算任务,表单提交跳转,POST /api/projects/create_and_run
育种项目,结果分析,顶部导航,返回按钮,返回项目列表页,History.back(),无
育种项目,结果分析,Tab导航区,Tab标签(材料基因/功能基因/育种值等),切换不同的分析结果视图,Active Tab State切换,无
育种项目,结果分析,材料基因诊断Tab,搜索输入框,搜索特定材料名称,前端过滤/后端搜索,GET /api/results/diagnosis?keyword=...
育种项目,结果分析,材料基因诊断Tab,搜索按钮,触发搜索动作,执行过滤,无
育种项目,结果分析,材料基因诊断Tab,进入群体预测按钮,跳转或切换至群体预测详情,路由/Tab跳转,无
育种项目,结果分析,材料基因诊断Tab,血缘占比阈值下拉框,选择血缘过滤阈值(60%/50%等),更新过滤条件,无
育种项目,结果分析,材料基因诊断Tab,调整按钮,应用选定的阈值进行筛选,重新渲染图表/表格,GET /api/results/diagnosis?threshold=...
育种项目,结果分析,材料基因诊断Tab,结果表格,展示材料血缘成分及各项指标,数据渲染,无
育种项目,结果分析,功能基因诊断Tab,结果表格,展示基因型评级(优/杂/非),数据渲染,GET /api/results/functional-genes
育种项目,结果分析,育种值预测Tab,结果表格,展示预测产量及备注,数据渲染,GET /api/results/breeding-values
育种项目,结果分析,最佳亲本匹配Tab,结果表格,展示父母本组合及预测产量,数据渲染,GET /api/results/parent-matching
数据查询,材料管理,筛选搜索区,全局搜索框,输入名称/编号/标签进行模糊搜索,Debounce搜索,GET /api/materials/search?q=...
数据查询,材料管理,筛选搜索区,搜索按钮,执行全局搜索,触发查询,无
数据查询,材料管理,筛选搜索区,高级筛选按钮,展开/收起高级筛选面板,Toggle State,无
数据查询,材料管理,高级筛选面板,多条件筛选控件(类型/表型/基因型),设置详细筛选条件,Update Filter State,无
数据查询,材料管理,列表数据区,全选复选框,选中/取消选中当前页所有材料,Batch Selection State,无
数据查询,材料管理,列表数据区,单行复选框,选中/取消选中特定材料,Update Selection State,无
数据查询,材料管理,列表数据区,查看详情链接,点击打开材料详情抽屉,Set Detail State,GET /api/materials/:id
数据查询,材料管理,批量操作栏,批量下载按钮,下载选定材料的数据文件,触发下载,POST /api/materials/batch-download
数据查询,材料管理,批量操作栏,打标签按钮,为选定材料批量添加标签,弹出标签输入框,POST /api/materials/batch-tag
数据查询,材料管理,批量操作栏,导出清单按钮,导出选定材料的清单Excel,触发导出,POST /api/materials/export-list
数据查询,材料管理,批量操作栏,取消选择按钮,清空所有已选材料,Reset Selection State,无
文件工具,工具集,工具卡片区,工具卡片(基因型转换等),点击进入具体工具页面,路由跳转,无
系统设置,用户管理,顶部操作区,搜索输入框,搜索用户姓名,前端/后端搜索,GET /api/users?keyword=...
系统设置,用户管理,顶部操作区,角色筛选下拉框,筛选特定角色的用户,Filter State,GET /api/users?role=...
系统设置,用户管理,顶部操作区,添加用户按钮,弹出添加用户模态框,Show Modal State,无
系统设置,用户管理,用户列表区,编辑按钮,点击编辑用户信息,Show Edit Modal,GET /api/users/:id
系统设置,用户管理,用户列表区,删除按钮,点击删除用户(需确认),Confirm Dialog,DELETE /api/users/:id
系统设置,用户管理,添加/编辑弹窗,表单输入(姓名/邮箱/角色等),输入用户信息,Form State,无
系统设置,用户管理,添加/编辑弹窗,取消按钮,关闭弹窗,Hide Modal,无
系统设置,用户管理,添加/编辑弹窗,保存按钮,提交用户信息,表单提交,POST/PUT /api/users
系统设置,角色管理,顶部操作区,添加角色按钮,弹出添加角色模态框,Show Modal,无
系统设置,角色管理,角色卡片区,编辑角色按钮,点击编辑角色权限,Show Edit Modal,GET /api/roles/:id
系统设置,角色管理,角色卡片区,权限开关展示,展示该角色的各项权限状态,数据渲染,无
